/Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/venv/bin/python /Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/check_if_free.py
['lyets.se', 'free']
['lyfte.se', 'free']
['lyfts.se', 'free']
['lymfa.se', 'free']
['lyors.se', 'free']
['lyras.se', 'free']
['lyste.se', 'free']
['lyten.se', 'free']
['mader.se', 'free']
['mages.se', 'free']
['magre.se', 'free']
['makor.se', 'free']
['makts.se', 'free']
['malde.se', 'free']
['malts.se', 'free']
['marsk.se', 'free']
['masig.se', 'free']
['medta.se', 'free']
['mejad.se', 'free']
['mejar.se', 'free']
['mejat.se', 'free']
['mejls.se', 'free']
['mekas.se', 'free']
['mekat.se', 'free']
['menat.se', 'free']
['menig.se', 'free']
['menys.se', 'free']
['mesar.se', 'free']
['mesig.se', 'free']
['metas.se', 'free']
['metyl.se', 'free']
['mikra.se', 'free']
['milor.se', 'free']
['minks.se', 'free']
['mjuke.se', 'free']
['moars.se', 'free']
['mogne.se', 'free']
['mojar.se', 'free']
['mojen.se', 'free']
['mojet.se', 'free']
['mojna.se', 'free']
['molat.se', 'free']
['molns.se', 'free']
['mords.se', 'free']
['morna.se', 'free']
['mosad.se', 'free']
['mosar.se', 'free']
['motad.se', 'free']
['motig.se', 'free']
['motse.se', 'free']
['mular.se', 'free']
['mulas.se', 'free']
['mules.se', 'free']
['mulna.se', 'free']
['mulor.se', 'free']
['munks.se', 'free']
['muras.se', 'free']
['muser.se', 'free']
['mutad.se', 'free']
['mutan.se', 'free']
['mutar.se', 'free']
['mutas.se', 'free']
['mynts.se', 'free']
['myons.se', 'free']
['myopi.se', 'free']
['myset.se', 'free']
['myste.se', 'free']
['myten.se', 'free']
['naivt.se', 'free']
['narig.se', 'free']
['narvs.se', 'free']
['nedom.se', 'free']
['nedta.se', 'free']
['nejds.se', 'free']
['nekar.se', 'free']
['nekas.se', 'free']
['nervs.se', 'free']
['niobs.se', 'free']
['niors.se', 'free']
['njuts.se', 'free']
['nocks.se', 'free']
['noder.se', 'free']
['nogav.se', 'free']
['nojas.se', 'free']
['nojsa.se', 'free']
['norms.se', 'free']
['nosar.se', 'free']
['nosat.se', 'free']
['notad.se', 'free']
['notas.se', 'free']
['nucka.se', 'free']
['nuets.se', 'free']
['numer.se', 'free']
['nupet.se', 'free']
['nupit.se', 'free']
['nycks.se', 'free']
['nylig.se', 'free']
['nymfs.se', 'free']
['nypas.se', 'free']
['nyper.se', 'free']
['nypes.se', 'free']
['nypet.se', 'free']
['nypor.se', 'free']
['nypta.se', 'free']
['nypts.se', 'free']
['nyser.se', 'free']
['nysit.se', 'free']
['nyste.se', 'free']
['nyter.se', 'free']
['nytra.se', 'free']
['nytre.se', 'free']
['oblat.se', 'free']
['oblid.se', 'free']
['odals.se', 'free']
['odets.se', 'free']
['odlas.se', 'free']
['odryg.se', 'free']
['oenig.se', 'free']
['ofina.se', 'free']
['ofine.se', 'free']
['ofint.se', 'free']
['ofria.se', 'free']
['ofrie.se', 'free']
['ogina.se', 'free']
['ogine.se', 'free']
['ogint.se', 'free']
['ohmen.se', 'free']
['ojade.se', 'free']
['ojats.se', 'free']
['okben.se', 'free']
['okets.se', 'free']
['oklar.se', 'free']
['okyld.se', 'free']
['okylt.se', 'free']
['olats.se', 'free']
['olikt.se', 'free']
['olivs.se', 'free']
['oljad.se', 'free']
['oljar.se', 'free']
['oljas.se', 'free']
['oljig.se', 'free']
['omaks.se', 'free']
['ombad.se', 'free']
['omber.se', 'free']
['ombes.se', 'free']
['omgav.se', 'free']
['omger.se', 'free']
['omges.se', 'free']
['omgiv.se', 'free']
['omild.se', 'free']
['omilt.se', 'free']
['omser.se', 'free']
['omtal.se', 'free']
['ondas.se', 'free']
['ondes.se', 'free']
['opakt.se', 'free']
['opals.se', 'free']
['opiet.se', 'free']
['ordas.se', 'free']
['ordat.se', 'free']
['orena.se', 'free']
['ormad.se', 'free']
['ormat.se', 'free']
['ornat.se', 'free']
['orunt.se', 'free']
['osade.se', 'free']
['osagd.se', 'free']
['osfri.se', 'free']
['otack.se', 'free']
['otals.se', 'free']
['oturs.se', 'free']
['otygs.se', 'free']
['ovals.se', 'free']
['ovalt.se', 'free']
['ovane.se', 'free']
['oviga.se', 'free']
['ovigd.se', 'free']
['ovigt.se', 'free']
['ovikt.se', 'free']
['ovisa.se', 'free']
['ovist.se', 'free']
['oxars.se', 'free']
['oxels.se', 'free']
['oxens.se', 'free']
['oxern.se', 'free']
['oxers.se', 'free']
['oxhud.se', 'free']
['oxids.se', 'free']
['oxlar.se', 'free']
['packe.se', 'free']
['pakts.se', 'free']
['palts.se', 'free']
['panke.se', 'free']
['pankt.se', 'free']
['parce.se', 'free']
['paren.se', 'free']
['parig.se', 'free']
['paten.se', 'free']
['pavor.se', 'free']
['pekar.se', 'free']
['pengs.se', 'free']
['peson.se', 'free']
['petad.se', 'free']
['picka.se', 'free']
['pigas.se', 'free']
['pigor.se', 'free']
['pikad.se', 'free']
['pikar.se', 'free']
['pikat.se', 'free']
['pilks.se', 'free']
['pilsk.se', 'free']
['pilts.se', 'free']
['pinad.se', 'free']
['pinat.se', 'free']
['pinka.se', 'free']
['pions.se', 'free']
['pjosk.se', 'free']
['plans.se', 'free']
['plins.se', 'free']
['plita.se', 'free']
['plits.se', 'free']
['plogs.se', 'free']
['plojs.se', 'free']
['plyte.se', 'free']
['pocka.se', 'free']
['poets.se', 'free']
['pokus.se', 'free']
['ponke.se', 'free']
['poren.se', 'free']
['porig.se', 'free']
['prats.se', 'free']
['provs.se', 'free']
['pruts.se', 'free']
['pryds.se', 'free']
['pryon.se', 'free']
['pryos.se', 'free']
['psyka.se', 'free']
['pukor.se', 'free']
['pumas.se', 'free']
['punds.se', 'free']
['punga.se', 'free']
['pungs.se', 'free']
['punks.se', 'free']
['purea.se', 'free']
['putar.se', 'free']
['putig.se', 'free']
['pynts.se', 'free']
['pyrde.se', 'free']
['pyren.se', 'free']
['pyres.se', 'free']
['pyser.se', 'free']
['pyste.se', 'free']
['pytsa.se', 'free']
['racen.se', 'free']
['ragun.se', 'free']
['ragus.se', 'free']
['ramps.se', 'free']
['rankt.se', 'free']
['rapen.se', 'free']
['rapet.se', 'free']
['rasen.se', 'free']
['raske.se', 'free']
['rauks.se', 'free']
['reals.se', 'free']
['realt.se', 'free']
['reans.se', 'free']
['reats.se', 'free']
['redas.se', 'free']
['regns.se', 'free']
['remin.se', 'free']
['renko.se', 'free']
['repad.se', 'free']
['repan.se', 'free']
['repat.se', 'free']
['repig.se', 'free']
['retad.se', 'free']
['revad.se', 'free']
['revas.se', 'free']
['revat.se', 'free']
['revig.se', 'free']
['revys.se', 'free']
['ridas.se', 'free']
['riden.se', 'free']
['ridet.se', 'free']
['ridna.se', 'free']
['ringd.se', 'free']
['rinks.se', 'free']
['ripas.se', 'free']
['risad.se', 'free']
['risat.se', 'free']
['ritad.se', 'free']
['ritsa.se', 'free']
['rivna.se', 'free']
['rivne.se', 'free']
['roade.se', 'free']
['roats.se', 'free']
['robes.se', 'free']
['rombs.se', 'free']
['romen.se', 'free']
['romsk.se', 'free']
['ronds.se', 'free']
['ropad.se', 'free']
['ropas.se', 'free']
['ropat.se', 'free']
['ropen.se', 'free']
['rotas.se', 'free']
['rotes.se', 'free']
['rotig.se', 'free']
['rovas.se', 'free']
['rovet.se', 'free']
['rucka.se', 'free']
['rufsa.se', 'free']
['rugos.se', 'free']
['rulad.se', 'free']
['runas.se', 'free']
['runde.se', 'free']
['runga.se', 'free']
['rusat.se', 'free']
['rusen.se', 'free']
['rusig.se', 'free']
['rutas.se', 'free']
['ruvas.se', 'free']
['ruvat.se', 'free']
['rycks.se', 'free']
['ryckt.se', 'free']
['rymde.se', 'free']
['rymds.se', 'free']
['rymts.se', 'free']
['ryske.se', 'free']
['ryste.se', 'free']
['rytas.se', 'free']
['rytms.se', 'free']
['sagde.se', 'free']
['salte.se', 'free']
['samen.se', 'free']
['saten.se', 'free']
['savig.se', 'free']
['segar.se', 'free']
['segat.se', 'free']
['segna.se', 'free']
['sejar.se', 'free']
['selad.se', 'free']
['selat.se', 'free']
['selot.se', 'free']
['senat.se', 'free']
['senig.se', 'free']
['sexor.se', 'free']
['siade.se', 'free']
['sikar.se', 'free']
['sikel.se', 'free']
['silar.se', 'free']
['silat.se', 'free']
['silon.se', 'free']
['silor.se', 'free']
['sinat.se', 'free']
['sinka.se', 'free']
['sioux.se', 'free']
['sirad.se', 'free']
['siret.se', 'free']
['sjuda.se', 'free']
['sjuka.se', 'free']
['sjuke.se', 'free']
['sjunk.se', 'free']
['skalm.se', 'free']
